full_name,description,stargazers_count,forks_count,open_issues_count,created_at,updated_at,language,license_name,owner_login,owner_type,topics,html_url,search_keyword
microsoft/autogen,A programming framework for agentic AI,35820,5210,892,2023-09-19T17:06:55Z,2026-04-20T14:30:00Z,Python,MIT License,microsoft,Organization,"ai, agent, multi-agent",https://github.com/microsoft/autogen,AI agent
langchain-ai/langchain,Build context-aware reasoning applications,98500,15600,1340,2022-10-19T02:51:19Z,2026-04-22T08:15:00Z,Python,MIT License,langchain-ai,Organization,"llm, langchain, ai",https://github.com/langchain-ai/langchain,AI agent
Significant-Gravitas/AutoGPT,AutoGPT is the vision of accessible AI,170234,44800,120,2023-03-16T04:57:30Z,2026-04-21T19:45:00Z,JavaScript,MIT License,Significant-Gravitas,Organization,"autogpt, ai, agent",https://github.com/Significant-Gravitas/AutoGPT,AI agent
microsoft/autogen,A programming framework for agentic AI,35825,5212,893,2023-09-19T17:06:55Z,2026-04-21T10:00:00Z,Python,MIT License,microsoft,Organization,"ai, agent, multi-agent",https://github.com/microsoft/autogen,AI skill
openai/openai-python,The official Python library for the OpenAI API,23410,3200,87,2020-12-15T22:50:00Z,2026-04-19T22:00:00Z,Python,Apache License 2.0,openai,Organization,"openai, python, api",https://github.com/openai/openai-python,AI agent
crewAI/crewai,Framework for orchestrating role-playing autonomous AI agents,22345,3100,N/A,2023-12-08T15:30:00Z,2026-04-18T12:00:00Z,python,MIT License,crewAI,organization,"crewai, ai-agents",https://github.com/crewAI/crewai,AI agent
huggingface/transformers,"State-of-the-art Machine Learning for PyTorch, TensorFlow, and JAX",140000,27800,1250,2018-10-29T13:56:00Z,2026-04-22T06:30:00Z,Python,Apache License 2.0,huggingface,Organization,"transformers, nlp, machine-learning",https://github.com/huggingface/transformers,AI skill
run-llama/llama_index,LlamaIndex is a data framework for your LLM applications,37800,5400,,2022-11-02T21:40:00Z,2026-04-20T11:20:00Z,Python,MIT License,run-llama,Organization,"llm, rag, data-framework",https://github.com/run-llama/llama_index,AI skill
oobabooga/text-generation-webui,A Gradio web UI for Large Language Models,41200,5350,360,2022-12-21T07:12:00Z,2026-04-15T09:00:00Z,,MIT License,oobabooga,User,"text-generation, webui, llm",https://github.com/oobabooga/text-generation-webui,AI skill
deepseek-ai/DeepSeek-V3,,685200,7890,45,2024-12-25T08:00:00Z,2026-04-10T16:45:00Z,Python,,deepseek-ai,Organization,,https://github.com/deepseek-ai/DeepSeek-V3,AI skill
anthropic/anthropic-sdk-python,The official Python SDK for Anthropic's API,1850,210,32,2023-07-12T20:15:00Z,2026-04-22T01:30:00Z,Python,MIT License,anthropic,Organization,"anthropic, claude, sdk",https://github.com/anthropic/anthropic-sdk-python,AI agent
jdoe123/my-ai-notes,personal notes on ai stuff,3,0,0,2025-06-10T04:20:00Z,2025-06-10T04:20:00Z,,,jdoe123,User,,https://github.com/jdoe123/my-ai-notes,AI skill
LAION-AI/Open-Assistant,OpenAssistant - open-source chat assistant,37200,3310,590,2022-12-06T19:10:00Z,02/14/2025,Python,Apache License 2.0,LAION-AI,Organization,"open-assistant, chatbot, ai",https://github.com/LAION-AI/Open-Assistant,AI agent
BerriAI/litellm,Python SDK to call 100+ LLM APIs,15600,1820,470,2023-07-27T06:25:00Z,2026-04-21T20:30:00Z,Python,MIT License,BerriAI,Organization,"litellm, llm, proxy",https://github.com/BerriAI/litellm,AI skill
gpt-engineer-org/gpt-engineer,Specify what you want it to build,52800,6900,22,2023-04-29T14:55:00Z,2026-03-01T10:00:00Z,Python,MIT License,gpt-engineer-org,Organization,"gpt, code-generation, ai",https://github.com/gpt-engineer-org/gpt-engineer,AI agent
user456/awesome-llm-list,A curated list of awesome LLM resources,280,45,2,2024-03-15,2024-08-20,,,user456,user,"awesome-list, llm",https://github.com/user456/awesome-llm-list,AI skill
meta-llama/llama,Inference code for Llama models,56700,9650,230,2023-02-14T22:08:00Z,2026-04-18T08:00:00Z,Python,Llama 2 Community License,meta-llama,Organization,"llama, meta, llm",https://github.com/meta-llama/llama,AI skill
vllm-project/vllm,A high-throughput inference engine for LLMs,37500,5600,2450,2023-01-20T05:30:00Z,2026-04-22T07:45:00Z,Python,Apache License 2.0,vllm-project,Organization,"vllm, inference, llm",https://github.com/vllm-project/vllm,AI skill
openai/openai-python,The official Python library for the OpenAI API,23410,3200,87,2020-12-15T22:50:00Z,2026-04-19T22:00:00Z,Python,Apache License 2.0,openai,Organization,"openai, python, api",https://github.com/openai/openai-python,AI skill
binary-husky/gpt_academic,为GPT/GLM等LLM大语言模型提供实用化交互接口,66500,8120,N/A,2023-03-20T13:00:00Z,2026-04-19T15:30:00Z,Python,GPL-3.0,binary-husky,User,"gpt, academic, chatgpt",https://github.com/binary-husky/gpt_academic,AI agent
comfyanonymous/ComfyUI,The most powerful and modular diffusion model GUI,63200,6700,2780,2023-01-17T02:39:00Z,2026-04-22T09:15:00Z,Python,GPL-3.0,comfyanonymous,User,"comfyui, stable-diffusion, ai-art",https://github.com/comfyanonymous/ComfyUI,AI skill
open-webui/open-webui,User-friendly AI interface,52800,6350,-15,2023-10-06T22:25:00Z,2026-04-22T05:00:00Z,Svelte,MIT License,open-webui,Organization,"webui, chatgpt, open-source",https://github.com/open-webui/open-webui,AI skill
QuivrHQ/quivr,Your GenAI Second Brain,37200,3580,89,2023-05-13T18:45:00Z,2026-04-17T14:20:00Z,Python,MIT License,QuivrHQ,Organization,"rag, second-brain, ai",https://github.com/QuivrHQ/quivr,AI skill
dify-ai/dify,Dify is an open-source LLM app development platform,56000,8400,380,2023-04-12T07:50:00Z,2026-04-22T03:10:00Z,TypeScript,MIT License,dify-ai,Organization,"dify, llm-app, workflow",https://github.com/dify-ai/dify,AI agent
phidatahq/phidata,Build AI Agents with memory and knowledge,16200,2200,185,2023-11-01T09:30:00Z,2026-04-20T18:40:00Z,Python,Mozilla Public License 2.0,phidatahq,Organization,"phidata, agent, ai",https://github.com/phidatahq/phidata,AI agent
joaomdmoura/crewAI,Framework for orchestrating role-playing AI agents,22350,3100,320,2023-12-08T15:30:00Z,2026-04-21T08:00:00Z,Python,MIT License,joaomdmoura,User,"crewai, ai-agents",https://github.com/joaomdmoura/crewAI,AI agent
nomic-ai/gpt4all,GPT4All: run open-source LLMs anywhere,72100,7850,610,2023-03-27T18:30:00Z,2026-04-16T22:15:00Z,C++,MIT License,nomic-ai,Organization,"gpt4all, local-llm, chatbot",https://github.com/nomic-ai/gpt4all,AI skill
XingangPan/DragGAN,Drag Your GAN: Interactive Point-based Manipulation,35800,3100,66,2023-05-18T17:56:00Z,2024-01-10T08:00:00Z,Python,,XingangPan,User,"gan, image-editing, ai",https://github.com/XingangPan/DragGAN,AI skill
lm-sys/FastChat,An open platform for training and serving chatbots,37500,4600,830,2023-03-19T02:20:00Z,2026-04-14T11:30:00Z,Python,Apache License 2.0,lm-sys,Organization,"chatbot, llm, vicuna",https://github.com/lm-sys/FastChat,AI agent
mlflow/mlflow,Open source platform for the machine learning lifecycle,19500,4400,710,2018-06-05T18:42:00Z,2026-04-22T04:50:00Z,python,Apache License 2.0,mlflow,Organization,"mlflow, ml-ops, experiment-tracking",https://github.com/mlflow/mlflow,AI skill
testuser/empty-repo,,0,0,0,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,,,testuser,User,,https://github.com/testuser/empty-repo,AI skill
langchain-ai/langchain,Build context-aware reasoning applications,98520,15605,1342,2022-10-19T02:51:19Z,2026-04-22T10:00:00Z,Python,MIT License,langchain-ai,Organization,"llm, langchain, ai",https://github.com/langchain-ai/langchain,AI skill
google/gemma_pytorch,The official implementation of Google's Gemma models,,,12,2024-02-21T17:00:00Z,2026-03-28T09:00:00Z,Python,Apache License 2.0,google,Organization,"gemma, google, llm",https://github.com/google/gemma_pytorch,AI skill
